,Дата операции,Дата обработки,Код авторизации,Описание операции,Категория,Сумма в валюте счёта,period
61,2022-12-12 16:44:00,2022-12-12,265466,APTEKA 486,Здоровье и красота,-2137.96,2022-12
62,2022-12-12 16:41:00,2022-12-12,237853,APTEKA 486,Здоровье и красота,-171.16,2022-12
63,2022-12-12 15:12:00,2022-12-12,252693,PYATEROCHKA 21288,Супермаркеты,-295.47,2022-12
64,2022-12-12 00:00:00,2022-12-12,247081,Погашение процентов за покупки вне льготного периода,Прочие операции,-5965.11,2022-12
65,2022-12-11 18:09:00,2022-12-12,280208,MAGNIT MM KABATCHIK,Супермаркеты,-369.95,2022-12
66,2022-12-11 17:45:00,2022-12-12,225440,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-1937.0,2022-12
67,2022-12-11 09:53:00,2022-12-12,258728,SPASIBO SBERPRIME,Прочие расходы,-199.0,2022-12
68,2022-12-11 08:39:00,2022-12-12,266535,SAMOKAT,Супермаркеты,-343.0,2022-12
70,2022-12-11 00:00:00,2022-12-12,255600,CHACHACHAY.ME,Супермаркеты,-50.0,2022-12
71,2022-12-10 19:12:00,2022-12-10,216932,MAGNIT MM KABATCHIK,Супермаркеты,-794.6,2022-12
72,2022-12-10 19:00:00,2022-12-10,217140,APTECHNOE UCHREZHD-IE,Здоровье и красота,-1577.0,2022-12
73,2022-12-09 19:20:00,2022-12-10,270590,SAMOKAT,Супермаркеты,-2157.0,2022-12
74,2022-12-09 00:00:00,2022-12-10,282161,CHACHACHAY.ME,Супермаркеты,-50.0,2022-12
75,2022-12-08 20:14:00,2022-12-09,282763,SAMOKAT,Супермаркеты,-522.0,2022-12
76,2022-12-08 16:03:00,2022-12-08,255831,LEROY MERLIN 31,Все для дома,-2183.0,2022-12
77,2022-12-08 09:06:00,2022-12-08,245291,SAMOKAT,Супермаркеты,-11.0,2022-12
78,2022-12-08 00:00:00,2022-12-09,235768,CHACHACHAY.ME,Супермаркеты,-50.0,2022-12
79,2022-12-08 00:00:00,2022-12-09,281236,GAZPROMNEFT AZS 308,Автомобиль,-1999.61,2022-12
80,2022-12-08 00:00:00,2022-12-09,272404,KROSHKA KARTOSHKA,Рестораны и кафе,-1577.0,2022-12
81,2022-12-07 19:49:00,2022-12-07,214740,MAGNIT MM KABATCHIK,Супермаркеты,-1642.11,2022-12
82,2022-12-07 19:36:00,2022-12-07,208276,APTECHNOE UCHREZHD-IE,Здоровье и красота,-212.5,2022-12
83,2022-12-06 19:01:00,2022-12-06,207321,MAGNIT MM KABATCHIK,Супермаркеты,-114.67,2022-12
84,2022-12-06 18:58:00,2022-12-06,275651,OOO BIONTA 42,Здоровье и красота,-848.0,2022-12
85,2022-12-06 18:56:00,2022-12-06,215248,APTECHNOE UCHREZHD-IE,Здоровье и красота,-256.0,2022-12
87,2022-12-06 18:37:00,2022-12-06,260645,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-1536.0,2022-12
88,2022-12-06 00:00:00,2022-12-08,249343,CloudTips,Рестораны и кафе,-53.8,2022-12
89,2022-12-05 14:52:00,2022-12-05,262378,SAMOKAT,Супермаркеты,-1139.0,2022-12
90,2022-12-05 14:02:00,2022-12-05,200722,SBERBANK_ONL@IN_PLATEZH,Прочие операции,-2177.56,2022-12
91,2022-12-05 14:01:00,2022-12-05,217165,SBERBANK_ONL@IN_PLATEZH,Прочие операции,-1010.0,2022-12
92,2022-12-05 13:59:00,2022-12-05,248240,AKVATEL,Супермаркеты,-600.0,2022-12
93,2022-12-05 12:53:00,2022-12-05,207729,CHIP DIP,Все для дома,-1210.0,2022-12
94,2022-12-05 09:47:00,2022-12-05,214244,MAGAZIN PRODUKTY,Супермаркеты,-130.0,2022-12
95,2022-12-05 08:10:00,2022-12-05,288093,SAMOKAT,Супермаркеты,-508.0,2022-12
96,2022-12-05 08:06:00,2022-12-05,200734,YANDEX.TAXI,Отдых и развлечения,-41.8,2022-12
97,2022-12-05 07:05:00,2022-12-05,241935,YANDEX.TAXI,Отдых и развлечения,-465.0,2022-12
99,2022-12-05 00:00:00,2022-12-06,257559,CHACHACHAY.ME,Супермаркеты,-50.0,2022-12
100,2022-12-05 00:00:00,2022-12-06,273691,CHACHACHAY.ME,Супермаркеты,-50.0,2022-12
101,2022-12-04 09:22:00,2022-12-05,265028,MONETKA,Супермаркеты,-119.99,2022-12
