,Дата операции,Дата обработки,Код авторизации,Описание операции,Категория,Сумма в валюте счёта,period
282,2022-10-11 08:23:00,2022-10-11,283456,MONETKA,Супермаркеты,-239.98,2022-10
286,2022-10-10 13:51:00,2022-10-10,297164,EVO AVAN,Рестораны и кафе,-1200.0,2022-10
287,2022-10-10 00:00:00,2022-10-10,268432,Погашение процентов за покупки вне льготного периода,Прочие операции,-1300.0,2022-10
288,2022-10-10 00:00:00,2022-10-10,244464,Погашение процентов за покупки вне льготного периода,Прочие операции,-179.8,2022-10
289,2022-10-10 00:00:00,2022-10-10,291126,Погашение процентов за покупки вне льготного периода,Прочие операции,-5000.0,2022-10
290,2022-10-10 00:00:00,2022-10-11,241718,KAFE,Рестораны и кафе,-1540.0,2022-10
291,2022-10-10 00:00:00,2022-10-11,276295,IP XLEPETIN DL,Прочие расходы,-300.0,2022-10
292,2022-10-09 15:30:00,2022-10-10,299006,KOREA PLUS,Автомобиль,-1200.0,2022-10
293,2022-10-08 19:30:00,2022-10-10,211572,SAMOKAT,Супермаркеты,-402.0,2022-10
294,2022-10-07 12:40:00,2022-10-08,222153,YM OZON,Неизвестная категория(-),-210.0,2022-10
295,2022-10-07 12:37:00,2022-10-08,286422,YM OZON,Неизвестная категория(-),-281.0,2022-10
296,2022-10-07 09:28:00,2022-10-07,250784,MONETKA,Супермаркеты,-359.97,2022-10
297,2022-10-06 16:27:00,2022-10-06,287314,SAMOKAT,Супермаркеты,-1048.0,2022-10
298,2022-10-06 15:54:00,2022-10-07,229642,YM OZON,Неизвестная категория(-),-1559.0,2022-10
299,2022-10-06 13:52:00,2022-10-06,218880,MAGAZIN VEGA,"Комунальные платежи, связь, интернет.",-400.0,2022-10
300,2022-10-06 13:20:00,2022-10-06,220662,CHIP DIP,Все для дома,-560.0,2022-10
301,2022-10-06 13:14:00,2022-10-06,267198,CHIP DIP,Все для дома,-610.0,2022-10
302,2022-10-06 12:17:00,2022-10-06,291975,PYATEROCHKA 16581,Супермаркеты,-294.87,2022-10
303,2022-10-06 00:00:00,2022-10-07,223817,Filatovskaya klinika,Здоровье и красота,-2000.0,2022-10
304,2022-10-05 21:22:00,2022-10-06,228329,YM OZON,Неизвестная категория(-),-1289.0,2022-10
305,2022-10-05 18:37:00,2022-10-05,206154,APTECHNOE UCHREZHD-IE,Здоровье и красота,-190.3,2022-10
307,2022-10-05 18:22:00,2022-10-05,242305,MAGNIT MM KABATCHIK,Супермаркеты,-247.96,2022-10
308,2022-10-05 18:04:00,2022-10-05,200691,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-1090.0,2022-10
309,2022-10-05 16:52:00,2022-10-05,269310,SBERBANK_ONL@IN_PLATEZ,Прочие операции,-11994.76,2022-10
310,2022-10-05 16:51:00,2022-10-05,212161,SBERBANK_ONL@IN_PLATEZ,Прочие операции,-1010.0,2022-10
312,2022-10-05 08:15:00,2022-10-05,215546,MONETKA,Супермаркеты,-154.98,2022-10
313,2022-10-05 07:15:00,2022-10-05,265077,SAMOKAT,Супермаркеты,-393.0,2022-10
315,2022-10-04 14:07:00,2022-10-04,202169,SBERBANK ONL@IN PLATEZH,Прочие операции,-1000.0,2022-10
316,2022-10-04 00:00:00,2022-10-05,273123,YM *Yandex.Fuel,Автомобиль,-1845.9,2022-10
317,2022-10-03 14:18:00,2022-10-03,282978,MAGAZIN VEGA,"Комунальные платежи, связь, интернет.",-25.0,2022-10
318,2022-10-03 14:16:00,2022-10-03,260465,MAGAZIN VEGA,"Комунальные платежи, связь, интернет.",-1799.0,2022-10
321,2022-10-03 13:39:00,2022-10-03,217832,MAGNIT MM KABATCHIK,Супермаркеты,-234.97,2022-10
322,2022-10-03 11:14:00,2022-10-03,261082,YANDEX.EDA,Рестораны и кафе,-1482.93,2022-10
323,2022-10-03 00:00:00,2022-10-04,275205,M-N MIRRAJ,Супермаркеты,-495.0,2022-10
324,2022-10-02 19:35:00,2022-10-03,202373,SAMOKAT,Супермаркеты,-1031.0,2022-10
326,2022-10-02 08:28:00,2022-10-03,254990,MONETKA,Супермаркеты,-119.99,2022-10
327,2022-10-01 18:52:00,2022-10-01,200437,SAMOKAT,Супермаркеты,-1070.0,2022-10
328,2022-10-01 08:37:00,2022-10-01,274883,YM OZON,Неизвестная категория(-),-13099.0,2022-10
330,2022-09-30 08:52:00,2022-09-30,221603,MONETKA,Супермаркеты,-359.97,2022-09
331,2022-09-29 12:53:00,2022-09-29,205490,MAGNIT MK POLNOTSVETNYJ,Супермаркеты,-986.91,2022-09
332,2022-09-29 11:31:00,2022-09-29,287185,KOFE S SOBOJ,Рестораны и кафе,-100.0,2022-09
333,2022-09-28 14:19:00,2022-09-28,286157,SBERBANK_ONL@IN_PLATEZ,Прочие операции,-300.0,2022-09
334,2022-09-27 19:23:00,2022-09-28,289577,SAMOKAT,Супермаркеты,-945.0,2022-09
335,2022-09-27 18:11:00,2022-09-27,296882,APTECHNOE UCHREZHD-IE,Здоровье и красота,-1108.0,2022-09
336,2022-09-27 12:23:00,2022-09-27,225171,IP CHEREPANOV A.S.,все для дома,-3890.0,2022-09
337,2022-09-27 09:26:00,2022-09-27,272855,MONETKA,Супермаркеты,-239.98,2022-09
339,2022-09-26 19:22:00,2022-09-26,201271,LUKOIL,Автомобиль,-1582.2,2022-09
341,2022-09-26 13:23:00,2022-09-26,212940,FASOL,Супермаркеты,-63.0,2022-09
342,2022-09-26 00:00:00,2022-09-27,250896,FLAGMAN,Супермаркеты,-247.0,2022-09
343,2022-09-26 00:00:00,2022-09-27,273655,AUCHAN TUMEN,Супермаркеты,-6362.31,2022-09
344,2022-09-25 19:12:00,2022-09-26,268784,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-1406.0,2022-09
345,2022-09-25 17:28:00,2022-09-26,236142,SBERBANK_ONL@IN_PLATEZ,Прочие операции,-9192.67,2022-09
347,2022-09-25 16:57:00,2022-09-26,216244,OOO BIONTA 42,Здоровье и красота,-335.0,2022-09
348,2022-09-25 16:53:00,2022-09-26,224328,MAGNIT MM KABATCHIK,Супермаркеты,-406.95,2022-09
349,2022-09-25 15:18:00,2022-09-26,293669,YM YANDEX.PLUS,Неизвестная категория(-),-299.0,2022-09
350,2022-09-23 18:19:00,2022-09-23,254239,MAGNIT MM KABATCHIK,Супермаркеты,-1111.4,2022-09
351,2022-09-23 18:05:00,2022-09-23,222948,APTECHNOE UCHREZHD-IE,Здоровье и красота,-75.0,2022-09
353,2022-09-22 19:21:00,2022-09-22,272654,SAMOKAT,Супермаркеты,-548.0,2022-09
354,2022-09-22 18:04:00,2022-09-22,245988,MAGNIT MM KABATCHIK,Супермаркеты,-293.91,2022-09
355,2022-09-22 09:29:00,2022-09-22,275147,SAMOKAT,Супермаркеты,-627.0,2022-09
356,2022-09-22 00:00:00,2022-09-23,232037,FLAGMAN,Супермаркеты,-225.0,2022-09
357,2022-09-20 08:31:00,2022-09-20,205590,MONETKA,Супермаркеты,-239.98,2022-09
358,2022-09-19 16:49:00,2022-09-19,203630,OOO AVTOGID,Автомобиль,-1475.0,2022-09
359,2022-09-19 16:32:00,2022-09-19,225286,TK LENTA-91,Супермаркеты,-2517.0,2022-09
360,2022-09-19 00:00:00,2022-09-20,227946,GAZIROVANNAJA VODA,Рестораны и кафе,-15.0,2022-09
361,2022-09-19 00:00:00,2022-09-20,244577,GAZIROVANNAJA VODA,Рестораны и кафе,-25.0,2022-09
362,2022-09-19 00:00:00,2022-09-20,271968,Tyumen' TRC Kristall,Все для дома,-1499.0,2022-09
364,2022-09-18 17:19:00,2022-09-19,252888,MAGNIT MM KABATCHIK,Супермаркеты,-918.9,2022-09
365,2022-09-18 08:18:00,2022-09-19,214930,SAMOKAT,Супермаркеты,-590.0,2022-09
366,2022-09-18 00:00:00,2022-09-19,243490,CHACHACHAY.ME,Супермаркеты,-50.0,2022-09
367,2022-09-17 17:32:00,2022-09-17,235159,MAGNIT MM KABATCHIK,Супермаркеты,-387.64,2022-09
368,2022-09-17 00:00:00,2022-09-19,232935,IP STELYUK NATALIA V,Автомобиль,-2000.0,2022-09
369,2022-09-16 20:39:00,2022-09-17,238276,AKVATEL,Супермаркеты,-300.0,2022-09
370,2022-09-16 18:31:00,2022-09-16,212178,MAGNIT MM KABATCHIK,Супермаркеты,-811.6,2022-09
371,2022-09-16 18:08:00,2022-09-17,283678,YM OZON 2,Неизвестная категория(-),-14970.92,2022-09
373,2022-09-16 08:27:00,2022-09-16,252642,MONETKA,Супермаркеты,-359.97,2022-09
374,2022-09-16 00:00:00,2022-09-17,247890,IP SEDININA L.A.,Автомобиль,-550.0,2022-09
375,2022-09-16 00:00:00,2022-09-17,223145,YM *Yandex.Fuel,Автомобиль,-1582.2,2022-09
376,2022-09-15 09:29:00,2022-09-16,258717,DELIVERYCLUB,Супермаркеты,-835.0,2022-09
378,2022-09-14 18:57:00,2022-09-16,214967,DELIVERYCLUB,Супермаркеты,-1754.0,2022-09
379,2022-09-14 12:25:00,2022-09-15,280263,DELIVERYCLUB,Супермаркеты,-971.0,2022-09
380,2022-09-14 00:00:00,2022-09-15,292069,MAIL.RU*DELIVERY-CLUB,Рестораны и кафе,-50.0,2022-09
381,2022-09-14 00:00:00,2022-09-15,201655,MAIL.RU*DELIVERY-CLUB,Рестораны и кафе,-50.0,2022-09
382,2022-09-13 18:31:00,2022-09-13,247532,SAMOKAT,Супермаркеты,-609.0,2022-09
383,2022-09-13 10:51:00,2022-09-13,204896,SAMOKAT,Супермаркеты,-512.0,2022-09
384,2022-09-12 18:17:00,2022-09-13,251251,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-2284.0,2022-09
385,2022-09-12 18:00:00,2022-09-12,274824,MAGNIT MM KABATCHIK,Супермаркеты,-312.95,2022-09
386,2022-09-11 09:53:00,2022-09-12,287175,SPASIBO SBERPRIME,Прочие расходы,-199.0,2022-09
387,2022-09-10 18:37:00,2022-09-10,221862,MAGNIT MM KABATCHIK,Супермаркеты,-1102.28,2022-09
388,2022-09-09 08:36:00,2022-09-09,290537,MONETKA,Супермаркеты,-389.95,2022-09
389,2022-09-09 08:31:00,2022-09-09,253718,APTECHNOE UCHREZHD-IE,Здоровье и красота,-955.0,2022-09
391,2022-09-09 00:00:00,2022-09-10,250844,SLUZHBA DOSTAVKI EDY 1,Рестораны и кафе,-1405.0,2022-09
392,2022-09-09 00:00:00,2022-09-09,220696,Погашение процентов за покупки вне льготного периода,Прочие операции,-5968.49,2022-09
393,2022-09-08 20:38:00,2022-09-08,227369,VOLNA,Здоровье и красота,-1300.0,2022-09
394,2022-09-08 17:41:00,2022-09-08,259562,VOLNA,Здоровье и красота,-1600.0,2022-09
395,2022-09-08 12:55:00,2022-09-08,299287,CHIO CHIO,Здоровье и красота,-400.0,2022-09
396,2022-09-08 10:43:00,2022-09-09,264020,YM OZON,Неизвестная категория(-),-992.0,2022-09
398,2022-09-08 07:32:00,2022-09-08,272647,SAMOKAT,Супермаркеты,-418.0,2022-09
399,2022-09-08 00:00:00,2022-09-09,281248,CHACHACHAY.ME,Супермаркеты,-50.0,2022-09
400,2022-09-07 19:16:00,2022-09-08,208799,SAMOKAT,Супермаркеты,-508.0,2022-09
401,2022-09-07 13:05:00,2022-09-08,226509,YM C4IP,"Комунальные платежи, связь, интернет.",-290.0,2022-09
402,2022-09-07 00:00:00,2022-09-08,275483,CHACHACHAY.ME,Супермаркеты,-50.0,2022-09
405,2022-09-06 18:45:00,2022-09-06,297104,MAGNIT MM KABATCHIK,Супермаркеты,-473.38,2022-09
407,2022-09-06 08:51:00,2022-09-06,229212,MONETKA,Супермаркеты,-239.98,2022-09
408,2022-09-06 07:37:00,2022-09-06,283288,SAMOKAT,Супермаркеты,-392.0,2022-09
409,2022-09-06 00:00:00,2022-09-07,207370,YM *Yandex.Fuel,Автомобиль,-2971.0,2022-09
410,2022-09-05 14:57:00,2022-09-05,270475,SAMOKAT,Супермаркеты,-972.0,2022-09
411,2022-09-05 11:01:00,2022-09-05,284115,MAGNIT MM KABATCHIK,Супермаркеты,-519.35,2022-09
412,2022-09-05 00:00:00,2022-09-06,259608,CHACHACHAY.ME,Супермаркеты,-50.0,2022-09
414,2022-09-04 11:34:00,2022-09-05,294782,KRASNOE BELOE,Супермаркеты,-224.73,2022-09
415,2022-09-04 11:30:00,2022-09-05,264180,KRASNOE BELOE,Супермаркеты,-194.77,2022-09
416,2022-09-04 00:00:00,2022-09-05,235609,Astra,Автомобиль,-1300.0,2022-09
417,2022-09-03 00:00:00,2022-09-05,265328,M-n Lyubava,Супермаркеты,-190.0,2022-09
418,2022-09-02 15:26:00,2022-09-02,233337,APTECHNOE UCHREZHD-IE,Здоровье и красота,-199.0,2022-09
419,2022-09-02 15:20:00,2022-09-02,230478,SUBWAY,Рестораны и кафе,-827.0,2022-09
421,2022-09-02 14:45:00,2022-09-02,241233,SBERBANK ONL@IN PLATEZH,Прочие операции,-1010.0,2022-09
422,2022-09-02 14:44:00,2022-09-02,247339,SBERBANK ONL@IN PLATEZH,Прочие операции,-11097.88,2022-09
423,2022-09-02 14:35:00,2022-09-02,229637,SBERBANK ONL@IN PLATEZH,Прочие операции,-500.0,2022-09
425,2022-09-02 13:04:00,2022-09-02,265702,SANTEKHMASTER,Супермаркеты,-1055.0,2022-09
426,2022-09-02 07:29:00,2022-09-02,225518,SBERBANK ONL@IN PLATEZH,Прочие операции,-500.0,2022-09
427,2022-09-02 00:00:00,2022-09-03,214035,M-n Lyubava,Супермаркеты,-170.0,2022-09
428,2022-09-01 00:00:00,2022-09-02,256957,M-n Lyubava,Супермаркеты,-195.0,2022-09
429,2022-09-01 00:00:00,2022-09-02,218350,LUKOIL.AZS 86623 86U,Автомобиль,-3138.0,2022-09
430,2022-09-01 00:00:00,2022-09-02,209445,FYDMASTERPLUS,Рестораны и кафе,-1655.0,2022-09
431,2022-08-31 00:00:00,2022-09-01,244856,M-n Lyubava,Супермаркеты,-617.8,2022-09
432,2022-08-30 12:55:00,2022-08-30,202889,MAGAZIN MASTER SAM,Автомобиль,-360.0,2022-08
433,2022-08-30 12:10:00,2022-08-30,245343,MAGNIT MM PISHUSCHIJ,Супермаркеты,-281.97,2022-08
434,2022-08-30 11:41:00,2022-08-30,212039,PEREKRESTOK RANDEVU BIO,Супермаркеты,-121.3,2022-08
435,2022-08-30 11:01:00,2022-08-30,298987,BK BURGER RUS,Рестораны и кафе,-338.95,2022-08
436,2022-08-29 11:46:00,2022-08-29,237156,MAGNIT MM PISHUSCHIJ,Супермаркеты,-386.97,2022-08
437,2022-08-29 00:00:00,2022-08-30,276766,Prestizh,Супермаркеты,-185.0,2022-08
438,2022-08-29 00:00:00,2022-08-30,228224,M-n Lyubava,Супермаркеты,-335.0,2022-08
439,2022-08-28 20:26:00,2022-08-29,228383,YANDEX.TAXI,Отдых и развлечения,-49.8,2022-08
441,2022-08-28 09:55:00,2022-08-29,206995,MAGNIT MM SEREZHKA,Супермаркеты,-911.87,2022-08
442,2022-08-28 00:00:00,2022-08-29,211434,IP Agaev M.G,Рестораны и кафе,-314.0,2022-08
443,2022-08-27 20:26:00,2022-08-29,257389,YANDEX.TAXI,Отдых и развлечения,-498.0,2022-08
444,2022-08-27 16:31:00,2022-08-27,218504,EVO DONER LAJK,Рестораны и кафе,-550.0,2022-08
445,2022-08-27 16:10:00,2022-08-27,208109,AMPER ELEKTRO,Все для дома,-391.0,2022-08
446,2022-08-27 09:12:00,2022-08-27,244233,MONETKA,Супермаркеты,-614.24,2022-08
447,2022-08-26 15:19:00,2022-08-26,299738,YM YANDEX.PLUS,Неизвестная категория(-),-299.0,2022-08
448,2022-08-25 08:17:00,2022-08-25,260490,MAGNIT MM RIVANOL,Супермаркеты,-439.97,2022-08
450,2022-08-24 17:11:00,2022-08-25,299560,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-2127.0,2022-08
451,2022-08-24 07:51:00,2022-08-24,256232,SAMOKAT,Супермаркеты,-686.0,2022-08
452,2022-08-23 19:14:00,2022-08-23,214643,PYATEROCHKA 21288,Супермаркеты,-1891.79,2022-08
454,2022-08-23 17:35:00,2022-08-23,252100,PRODUKTY 24,Супермаркеты,-120.0,2022-08
456,2022-08-23 08:24:00,2022-08-23,283192,MONETKA,Супермаркеты,-691.37,2022-08
457,2022-08-23 00:00:00,2022-08-24,223530,LK.ITPC.RU,"Комунальные платежи, связь, интернет.",-4354.08,2022-08
458,2022-08-23 00:00:00,2022-08-24,243730,IP STELYUK NATALIA V,Автомобиль,-34150.0,2022-08
459,2022-08-23 00:00:00,2022-08-24,294288,TEK SURGUTSKOE MRO,"Комунальные платежи, связь, интернет.",-1818.87,2022-08
460,2022-08-22 17:32:00,2022-08-24,217239,DELIVERYCLUB,Супермаркеты,-1773.0,2022-08
461,2022-08-22 16:05:00,2022-08-22,223384,OOO AVTOGID,Автомобиль,-1495.0,2022-08
462,2022-08-22 10:46:00,2022-08-22,231660,MONETKA,Супермаркеты,-119.99,2022-08
463,2022-08-22 10:43:00,2022-08-22,290831,MAGNIT MM KABATCHIK,Супермаркеты,-179.98,2022-08
464,2022-08-22 00:00:00,2022-08-23,255167,TUTU.RU,Путешествия,-4178.66,2022-08
465,2022-08-21 17:49:00,2022-08-22,246496,MAGNIT MM KABATCHIK,Супермаркеты,-785.89,2022-08
466,2022-08-20 17:16:00,2022-08-20,271461,MAGNIT MM KABATCHIK,Супермаркеты,-586.81,2022-08
469,2022-08-20 00:00:00,2022-08-22,208473,KHOLODILNOE OBORUDOVAN,Все для дома,-8745.0,2022-08
470,2022-08-20 00:00:00,2022-08-22,279989,ADACT,Все для дома,-2750.0,2022-08
471,2022-08-19 19:25:00,2022-08-20,230942,YANDEX.ZAPRAVKI,Автомобиль,-1582.2,2022-08
472,2022-08-19 12:58:00,2022-08-19,278224,AVTOELEKTRIKA,Все для дома,-7100.0,2022-08
473,2022-08-19 08:30:00,2022-08-19,214473,MONETKA,Супермаркеты,-359.97,2022-08
474,2022-08-19 06:38:00,2022-08-19,208944,SAMOKAT,Супермаркеты,-518.0,2022-08
475,2022-08-18 16:43:00,2022-08-18,213055,MAGNIT MM KABATCHIK,Супермаркеты,-675.68,2022-08
476,2022-08-18 14:36:00,2022-08-18,299067,SBERBANK ONL@IN PLATEZH,Прочие операции,-1000.0,2022-08
477,2022-08-18 00:00:00,2022-08-19,213206,AUCHAN TUMEN,Супермаркеты,-4415.83,2022-08
478,2022-08-18 00:00:00,2022-08-19,239099,KROSHKA KARTOSHKA T2,Рестораны и кафе,-1534.0,2022-08
479,2022-08-17 18:35:00,2022-08-17,261923,MAGNIT MM KABATCHIK,Супермаркеты,-1327.87,2022-08
481,2022-08-16 09:05:00,2022-08-16,285269,MONETKA,Супермаркеты,-239.98,2022-08
482,2022-08-15 11:00:00,2022-08-15,254194,MONETKA,Супермаркеты,-119.99,2022-08
483,2022-08-15 10:57:00,2022-08-15,222675,CHIO CHIO,Здоровье и красота,-400.0,2022-08
484,2022-08-15 06:47:00,2022-08-15,209912,YANDEX.TAXI,Отдых и развлечения,-38.8,2022-08
485,2022-08-15 06:46:00,2022-08-15,292976,YANDEX.TAXI,Отдых и развлечения,-388.0,2022-08
486,2022-08-14 17:23:00,2022-08-15,211802,TYUMEN-1-DODOPIZZA-D,Рестораны и кафе,-1888.0,2022-08
487,2022-08-13 19:11:00,2022-08-15,232528,SAMOKAT,Супермаркеты,-405.0,2022-08
488,2022-08-13 06:58:00,2022-08-13,284351,SAMOKAT,Супермаркеты,-976.0,2022-08
489,2022-08-12 08:10:00,2022-08-12,281934,MONETKA,Супермаркеты,-359.97,2022-08
490,2022-08-12 00:00:00,2022-08-13,202110,WWW.LITRES.RU,Отдых и развлечения,-169.0,2022-08
491,2022-08-11 18:11:00,2022-08-11,220329,GIPERMARKET RICH FEMILI,Отдых и развлечения,-1130.0,2022-08
492,2022-08-11 16:30:00,2022-08-11,253229,KAFE AKVAMARIN,Рестораны и кафе,-320.0,2022-08
493,2022-08-11 15:58:00,2022-08-11,299176,KAFE AKVAMARIN,Рестораны и кафе,-50.0,2022-08
494,2022-08-11 11:39:00,2022-08-11,278595,KAFE VERKHNIJ BOR,Рестораны и кафе,-1300.0,2022-08
495,2022-08-11 09:53:00,2022-08-11,246752,SPASIBO SBERPRIME,Прочие расходы,-199.0,2022-08
496,2022-08-11 09:27:00,2022-08-11,276033,PROKAT INVENTARYA,Отдых и развлечения,-320.0,2022-08
497,2022-08-11 09:18:00,2022-08-11,295822,LESNAYA POLYANA,Рестораны и кафе,-100.0,2022-08
498,2022-08-11 08:59:00,2022-08-11,211077,PROKAT INVENTARYA,Отдых и развлечения,-390.0,2022-08
499,2022-08-11 08:32:00,2022-08-11,292884,PROKAT INVENTARYA,Отдых и развлечения,-720.0,2022-08
501,2022-08-11 07:51:00,2022-08-11,281603,MAGNIT MM KABATCHIK,Супермаркеты,-188.74,2022-08
502,2022-08-11 00:00:00,2022-08-12,243004,TUTU.RU,Путешествия,-4133.24,2022-08
505,2022-08-10 10:35:00,2022-08-10,226051,AVTOELEKTRIKA,Все для дома,-1000.0,2022-08
506,2022-08-10 08:44:00,2022-08-10,266467,SBERBANK ONL@IN PLATEZH,Прочие операции,-1550.0,2022-08
507,2022-08-10 00:00:00,2022-08-10,226429,Погашение процентов за покупки вне льготного периода,Прочие операции,-5994.59,2022-08
508,2022-08-10 00:00:00,2022-08-11,278329,IP STELYUK NATALIA V,Автомобиль,-3500.0,2022-08
509,2022-08-09 16:39:00,2022-08-09,288351,MAGNIT MM KABATCHIK,Супермаркеты,-443.91,2022-08
510,2022-08-09 08:43:00,2022-08-09,227224,MONETKA,Супермаркеты,-299.96,2022-08
511,2022-08-08 18:41:00,2022-08-08,269833,MAGNIT MM KABATCHIK,Супермаркеты,-911.8,2022-08
512,2022-08-08 13:53:00,2022-08-08,243002,LEROY MERLIN 31,Все для дома,-3043.0,2022-08
513,2022-08-08 00:00:00,2022-08-09,259718,VOSTOCHNYJ BAZAR,Рестораны и кафе,-1050.0,2022-08
514,2022-08-07 18:33:00,2022-08-08,298848,IP SAMOJLOV IP,Рестораны и кафе,-1668.0,2022-08
516,2022-08-07 17:35:00,2022-08-08,249042,MAGNIT MM KABATCHIK,Супермаркеты,-1506.84,2022-08
517,2022-08-06 06:37:00,2022-08-06,256541,SAMOKAT,Супермаркеты,-581.0,2022-08
518,2022-08-05 18:03:00,2022-08-05,256209,IP ZMANOVSKIJ D.A.,Супермаркеты,-720.0,2022-08
519,2022-08-05 08:24:00,2022-08-05,223496,BRISTOL 3233,Супермаркеты,-299.97,2022-08
520,2022-08-04 17:31:00,2022-08-04,266832,MAGNIT MM KABATCHIK,Супермаркеты,-1207.86,2022-08
521,2022-08-04 08:39:00,2022-08-05,267923,DELIVERY CLUB,Рестораны и кафе,-1573.0,2022-08
524,2022-08-02 11:23:00,2022-08-02,215038,SBERBANK ONL@IN PLATEZH,Прочие операции,-580.0,2022-08
525,2022-08-02 07:49:00,2022-08-02,240413,MAGNIT MM KABATCHIK,Супермаркеты,-199.98,2022-08
526,2022-08-02 07:18:00,2022-08-03,208162,SAMOKAT,Супермаркеты,-708.0,2022-08
527,2022-08-02 00:00:00,2022-08-03,210182,SkillFactory,Образование,-160000.0,2022-08
528,2022-08-02 00:00:00,2022-08-03,210266,CHACHACHAY.ME,Супермаркеты,-30.0,2022-08
529,2022-08-01 18:14:00,2022-08-01,221021,SBERBANK ONL@IN PLATEZH,Прочие операции,-1010.0,2022-08
530,2022-08-01 18:13:00,2022-08-01,240075,SBERBANK ONL@IN PLATEZH,Прочие операции,-14140.0,2022-08
532,2022-08-01 17:01:00,2022-08-01,274469,MAGNIT MM KABATCHIK,Супермаркеты,-821.7,2022-08
533,2022-08-01 15:58:00,2022-08-02,286329,YM OZON,Прочие расходы,-5190.0,2022-08
534,2022-08-01 14:44:00,2022-08-01,213674,LEROYMERLIN 031,Все для дома,-178.4,2022-08
536,2022-08-01 00:00:00,2022-08-02,236269,VOSTOCHNYJ BAZAR,Рестораны и кафе,-1312.0,2022-08
537,2022-08-01 00:00:00,2022-08-02,227208,MAIL.RU*DELIVERY-CLUB,Рестораны и кафе,-50.0,2022-08
538,2022-08-01 00:00:00,2022-08-03,200068,Delivery-Club.Grocery,Супермаркеты,-1090.0,2022-08
539,2022-07-31 08:37:00,2022-08-01,234742,MAGNIT MM RIVANOL,Супермаркеты,-198.98,2022-08
540,2022-07-31 00:00:00,2022-08-01,275041,IP STELYUK NATALIA V,Автомобиль,-3000.0,2022-08
541,2022-07-30 20:58:00,2022-07-30,279699,VOLNA,Здоровье и красота,-1130.0,2022-07
542,2022-07-30 19:06:00,2022-07-30,212098,VOLNA,Здоровье и красота,-1000.0,2022-07
544,2022-07-30 08:52:00,2022-07-30,228832,MONETKA,Супермаркеты,-149.98,2022-07
545,2022-07-30 07:38:00,2022-07-30,206846,YM OZON,Прочие расходы,-709.0,2022-07
546,2022-07-30 00:00:00,2022-08-01,228198,Yandex.Zapravki,Автомобиль,-2009.6,2022-08
547,2022-07-29 20:36:00,2022-07-30,228149,YANDEX.TAXI,Отдых и развлечения,-64.6,2022-07
548,2022-07-29 20:05:00,2022-07-30,233977,YANDEX.TAXI,Отдых и развлечения,-718.0,2022-07
549,2022-07-28 17:49:00,2022-07-28,237287,MAGNIT MM KABATCHIK,Супермаркеты,-731.89,2022-07
550,2022-07-28 17:25:00,2022-07-28,214527,OREKH PRO,Супермаркеты,-454.0,2022-07
551,2022-07-28 16:57:00,2022-07-28,232186,MAGNIT MK NACHINENIE,Супермаркеты,-504.97,2022-07
552,2022-07-28 11:13:00,2022-07-28,290795,LEROYMERLIN 031,Все для дома,-2792.4,2022-07
553,2022-07-28 10:36:00,2022-07-28,267997,KOFE,Рестораны и кафе,-100.0,2022-07
554,2022-07-28 10:35:00,2022-07-28,289584,KOFE,Рестораны и кафе,-100.0,2022-07
556,2022-07-27 15:19:00,2022-07-27,281460,YM YANDEX.PLUS,Неизвестная категория(-),-299.0,2022-07
557,2022-07-26 21:36:00,2022-07-27,252750,IVI.RU 7,Отдых и развлечения,-99.0,2022-07
558,2022-07-26 17:53:00,2022-07-26,220101,MAGNIT MM KABATCHIK,Супермаркеты,-779.9,2022-07
559,2022-07-26 07:50:00,2022-07-26,291064,MONETKA,Супермаркеты,-309.96,2022-07
560,2022-07-26 07:14:00,2022-07-26,268960,SAMOKAT,Супермаркеты,-420.0,2022-07
561,2022-07-26 00:00:00,2022-07-27,249296,CHACHACHAY.ME,Супермаркеты,-30.0,2022-07
562,2022-07-25 17:45:00,2022-07-25,288275,LEROY MERLIN 31,Все для дома,-2210.0,2022-07
563,2022-07-25 16:42:00,2022-07-26,227596,BK BURGER RUS,Рестораны и кафе,-1.0,2022-07
564,2022-07-25 16:03:00,2022-07-25,242278,HOUSE,Одежда и аксессуары,-1599.0,2022-07
565,2022-07-25 14:54:00,2022-07-25,256886,CHIO CHIO,Здоровье и красота,-100.0,2022-07
566,2022-07-25 00:00:00,2022-07-26,204133,SPORTMASTER 5766,Одежда и аксессуары,-766.0,2022-07
567,2022-07-25 00:00:00,2022-07-26,231193,KROSHKA KARTOSHKA,Рестораны и кафе,-119.0,2022-07
568,2022-07-25 00:00:00,2022-07-26,275930,IP PONOMAREV,Рестораны и кафе,-120.0,2022-07
569,2022-07-25 00:00:00,2022-07-26,273779,Klinika na Gubernskoy,Здоровье и красота,-800.0,2022-07
570,2022-07-25 00:00:00,2022-07-26,277956,KROSHKA KARTOSHKA,Рестораны и кафе,-1011.0,2022-07
571,2022-07-24 00:00:00,2022-07-26,275402,Aliexpress,Прочие расходы,-1067.97,2022-07
572,2022-07-24 00:00:00,2022-07-26,266177,Delivery-Club.Grocery,Супермаркеты,-2970.0,2022-07
